SuffixID,Suffix,InsertedByUserID,InsertedDateTime,UpdatedBYUserID,UpdatedDateTime
1,JR.,1234,2012-12-03 15:47:00.000,1234,2012-12-03 15:47:00.000
2,SR.,1234,2012-12-03 15:47:08.000,1234,2012-12-03 15:47:08.000
3,I,1234,2012-12-03 15:47:12.000,1234,2012-12-03 15:47:12.000
4,II,1234,2012-12-03 15:47:15.000,1234,2012-12-03 15:47:15.000
5,III,1234,2012-12-03 15:47:18.000,1234,2012-12-03 15:47:18.000
6,IV,1234,2012-12-03 15:47:21.000,1234,2012-12-03 15:47:21.000
7,V,1234,2012-12-03 15:47:24.000,1234,2012-12-03 15:47:24.000
